sentence,label,category
My most favorite thing is the music!,1,Electronics
She's my everything.,0,Electronics
Maybe my pronunciation is just bad lol.,0,Electronics
Then it announced it could not connect to our ATT wifi (router model 5268AC) even though our internet did not change.,0,Electronics
I decided to take a chance with this little one and am totally amazed and love it.,0,Electronics
Absolutely bargain price.,0,Electronics
"The next day, he asked me to order a second Dot for his man cave.",0,Electronics
Very impressed so far.,0,Electronics
"So far, so good.",0,Electronics
"Not sure what the issue is with the Canadian Made Best Buy Private Label line and the Echo Dot, whereas I have no problem connecting Android and Apple Phones VIA Bluetooth to the Insignia Products.",1,Electronics
That being the case some of the appliance noises hinder it's ability to fully hear what was said.,1,Electronics
"I put off getting one for so long, my whole family has Alexa’s, but I’m already seeing how great of a purchase this was.",0,Electronics
I use it for weather and music.,1,Electronics
The echo won’t just do it though WiFi.,1,Electronics
"We already have 2 early versions in the house, but the sound on this one is much much better.",0,Electronics
Same time my TV was rebooting with wierd lights.,0,Electronics
The sound quality was just too lousy for that (I'm spoiled - we have Sonos in our home).,1,Electronics
I didn't get an echo with my purchase so I felt left out.,0,Electronics
"However, for the money and having a second dot in the house, it works great for the purpose.",0,Electronics
"These are mostly party tricks, not much more.",0,Electronics
"If you’ve beatitudes, then stop.",0,Electronics
If you have the volume up while listening to an Audible book you have to yell really loud for it to hear you.,1,Electronics
Thank you,0,Electronics
My 2nd generation is so soft it’s sometimes hard to hear it.,1,Electronics
I'm getting creeped out by Google invading all aspects of our lives - I just haven't reached the point where I throw it against the wall though.,1,Electronics
I haven’t had the 3rd one long enough to see if all,0,Electronics
She is a blessing in our home,0,Electronics
"We use it for entertaining (playing music, ocean sounds, or playing trivia games).",1,Electronics
"Works great, she survived 115 Degrees and HEAVY RAIN Lightning and thunderstorm just the other night.",1,Electronics
"Alexa gives me someone to talk to, even if it's a simple ""You're Welcome"" or ""Have a good night"".",1,Electronics
I’ve had every generation of the echo dot and the regular Alexa and I have to say that this third generation dodge even almost exceeds the regular Alexa.,0,Electronics
I highly recommend it to anyone looking for a small smart speaker with the ability to control devices and a great assistant.,1,Electronics
We are a huge Echo family - we have three full sized Echos and 5 Echo dots.,0,Electronics
Also I had to buy a Harmony Hub to get it to control the TV and sound bar which wasn't expected.,0,Electronics
"I bought the first one to control lamps, using the $10 Mini Smart Plug for each lamp and it is perfect for this.",0,Electronics
I already own an Alexa but wanted a dot for my bedroom.,0,Electronics
"The microphone pickup ability on these is also better than the 2nd generation, but still not perfect.",1,Electronics
The sound system is great.,1,Electronics
My toddler will say things like “Alexa play ‘sad eyes’” and she will play true colors from trolls.,0,Electronics
I was looking for a Bluetooth speaker and finally ended up buying Echo dot and it was a wise decision.,0,Electronics
I recommend the new 3rd generation echo dot,0,Electronics
I even tried relaxing sounds on it.,0,Electronics
"I received this Echo Dot as a free add-on with a recent Amazon order for a  ""Ring"" video doorbell system.",0,Electronics
"The moment we set up our new Echo dot, we were pleased with the quality of sound.",1,Electronics
I’ve been hearing the rave about Alexa.,0,Electronics
"In the morning it is set to play music to get me up, tell me the weather and with the plug attached to my bed room lamp, it turns on my lamp as another push to get up.",0,Electronics
"Very responsive, reacts better than Siri.",1,Electronics
Better speaker than on the old one.,1,Electronics
Playing it at half is still louder then max of the other two.,0,Electronics
