category,f1-score,accuracy,matthews-corr
baby,0.7831194650280138,0.7975,0.5783479501412346
baby,0.7489279885828307,0.7625,0.5001712633582427
baby,0.7659512221069711,0.78,0.5428829849684443
baby,0.7689376975550234,0.7775,0.5505432811287098
baby,0.7210617900273073,0.7325,0.4656921350100072
pet,0.5874675486325972,0.71,0.32740293579112023
pet,0.6200716845878136,0.735,0.29395948660948407
pet,0.6370908013627611,0.755,0.3679491295996878
pet,0.6514812048792631,0.755,0.36875724439439106
pet,0.6327714736880761,0.75,0.37428738866788
sports,0.6763824809218726,0.7225,0.38377189475943074
sports,0.6589781746031746,0.725,0.37749757422887203
sports,0.667585953300239,0.7175,0.3553372041129042
sports,0.6317683488158005,0.6975,0.3267288595298616
sports,0.6794930785728213,0.7418546365914787,0.40896079519254147
electronics,0.6579785352046231,0.71,0.4050624389350583
electronics,0.664486820715712,0.7175,0.390036831337252
electronics,0.6672437439575511,0.7225,0.39332818152854504
electronics,0.6539582321515298,0.715,0.3877714889280993
electronics,0.607022607022607,0.6766917293233082,0.27074429602772465
