category,f1-score,accuracy,matthews-corr
baby,0.8160992013451029,0.825,0.6358173556933711
baby,0.8011015911872705,0.805,0.6072374243664264
baby,0.7850646116746611,0.795,0.5744023300988979
baby,0.7766008666345692,0.7825,0.5585978729705683
baby,0.7480771799912209,0.7525,0.5004140974572713
pet,0.780796631190332,0.81,0.5729526800125255
pet,0.7793712079426365,0.8125,0.5588586669641427
pet,0.7878081970616048,0.8275,0.5818914406999163
pet,0.7966446365022877,0.83,0.5946561033575442
pet,0.8231295575990587,0.8525,0.6514312658283534
sports,0.7528599951872736,0.7625,0.5093610327373848
sports,0.7912138010320382,0.8025,0.5842712664520516
sports,0.7633836143152913,0.78,0.5271560665671206
sports,0.7211497211497211,0.74,0.4433100313603295
sports,0.7201178451178452,0.7493734335839599,0.44301305781822775
electronics,0.721131213286303,0.7475,0.4751866764857283
electronics,0.7547738434037391,0.7625,0.5117912248035328
electronics,0.7353841065078972,0.76,0.4805661854424384
electronics,0.7914395411669904,0.8075,0.5900269063099454
electronics,0.7655949583422346,0.7794486215538847,0.5312325884406152
