category,f1-score,accuracy,matthews-corr
baby,0.7196565793096543,0.72,0.5058603754786163
baby,0.7196565793096543,0.72,0.4772068296505129
baby,0.7174982343639648,0.7175,0.47641969972968556
baby,0.703547382172646,0.705,0.40883404686688773
baby,0.7182304874612566,0.725,0.4449156949467237
pet,0.7277197803945519,0.7325,0.4936097125512008
pet,0.7233253802333083,0.7775,0.4513414457322223
pet,0.6904246255503743,0.7025,0.43173055467155075
pet,0.7320482053083072,0.7425,0.5182280361985331
pet,0.7668674197219061,0.79,0.5374579975461411
sports,0.6958835668513088,0.7025,0.4056034029479958
sports,0.6394230769230769,0.64,0.4103934375957169
sports,0.7049756983187396,0.7075,0.4620899067435647
sports,0.7033312382149591,0.705,0.44396996704660174
sports,0.6711055163996753,0.6766917293233082,0.37522545966593374
electronics,0.7186151301405023,0.7225,0.44129306889588094
electronics,0.716878586415228,0.72,0.4516426055465279
electronics,0.6319824753559693,0.6325,0.3616126771886276
electronics,0.7418767081688431,0.745,0.5006390317221248
electronics,0.6923786653185036,0.6942355889724311,0.4216936143856333
