category,f1-score,accuracy,matthews-corr
baby,0.8357963875205254,0.84,0.6719870111193508
baby,0.8021509740259739,0.805,0.6136140669984531
baby,0.8327886296268147,0.835,0.669853448728354
baby,0.805652483925315,0.8075,0.6113971453765197
baby,0.797042076184391,0.7975,0.5957763582969612
pet,0.7992621527777778,0.815,0.5987088307813282
pet,0.8159044402432893,0.8375,0.6374528290148304
pet,0.8347578347578348,0.855,0.6714224433804988
pet,0.8397875076417143,0.8575,0.6842802766007968
pet,0.858967440187084,0.8775,0.7179488050519973
sports,0.8012344387488232,0.81,0.6045967780442069
sports,0.8176424338127928,0.8275,0.6371943884132881
sports,0.7914395411669906,0.8075,0.5828904593976686
sports,0.7806423479197363,0.7925,0.5612954354228793
sports,0.7623585467540203,0.7794486215538847,0.5251085218894059
electronics,0.7986940595636248,0.8025,0.5991346423300316
electronics,0.7809828715722209,0.7875,0.5649437481712197
electronics,0.7546908844176519,0.765,0.5103964140908422
electronics,0.8387853400373966,0.8475,0.6781390797358372
electronics,0.7670601971977167,0.7744360902255639,0.5400069079602005
