category,f1-score,accuracy,matthews-corr
baby,0.7745799585856203,0.785,0.5518531122449211
baby,0.75713104588673,0.765,0.5146223091366217
baby,0.7964456274954983,0.805,0.5956437194427896
baby,0.7552019583843329,0.76,0.5123191721802727
baby,0.7415824276050771,0.745,0.48502455084448454
pet,0.7526283240568954,0.7825,0.5114708496974774
pet,0.7594994024599351,0.7975,0.5190115262570063
pet,0.7740538504989644,0.8125,0.5503687785224551
pet,0.7706804838932069,0.8025,0.5414730415447367
pet,0.8145877568109094,0.845,0.6337371048413832
sports,0.7318508386432736,0.7525,0.4654677128914346
sports,0.7419021809265711,0.7625,0.4843263301851265
sports,0.735735087908532,0.755,0.4716369126661887
sports,0.7311177435401037,0.75,0.46372020940544784
sports,0.7101942577190385,0.7443609022556391,0.42671037628685815
electronics,0.7454586009407536,0.7575,0.49457338849822813
electronics,0.7489277121037765,0.76,0.497895800748983
electronics,0.7341579861111112,0.755,0.47252919428060086
electronics,0.746521410851041,0.765,0.4981877421442738
electronics,0.6947248322147652,0.7142857142857143,0.38979835359998677
